"Model #","Serial #","Inv Qty","Availability Status","Availability Message"
GFD65GSPVDS,TA238188,,Reserved,"Not Available"
GTW485ASWWB,TA194979,,Reserved,"Not Available"
JP3030DWBB,TA186362,,Reserved,"Not Available"
GDT535PSRSS,VA760155,,Reserved,"Not Available"
PXD22BYPFS,TA523591,,Reserved,"Not Available"
GWE19JYLFS,MA336500,,Reserved,"Not Available"
PFW870SSVWW,FA331517,,Reserved,"Not Available"
PGS930YPFS,RA926533,,Reserved,"Not Available"
JVM3160RFSS,FA227156,,Reserved,"Not Available"
GRF40HSVSS,VA083992,,Reserved,"Not Available"
PDT715SYVFS,SA789817,,Reserved,"Not Available"
GFW655SSVWW,VA357653,,Reserved,"Not Available"
UVW93642PSS,MA831353,,Reserved,"Not Available"
GFQ14ESSNWW,RA327045,,Reserved,"Not Available"
JVM3162RJSS,GA205020,,Reserved,"Not Available"
GFW655SSVWW,VA357419,,Reserved,"Not Available"
GTD58EBSVWS,VA703920,,Reserved,"Not Available"
JB256RTSS,TA452350,,Reserved,"Not Available"
CGE29DP4TW2,MA141012,,Reserved,"Not Available"
PYE22KYNFS,TA512346,,Reserved,"Not Available"
CCWK15C1WSS,TA200434,,Reserved,"Not Available"
JVM3160RFSS,LA207662,,Reserved,"Not Available"
GTS22KGNRWW,TA830171,,Reserved,"Not Available"
GNE27JYMFS,TA377155,,Reserved,"Not Available"
FUF14DLRWW,FZ172682,,Reserved,"Not Available"
CGE29DP4TW2,RA158093,,Reserved,"Not Available"
PCWK22U1WDD,TA205450,,Reserved,"Not Available"
PVM9005SJSS,RA205867,,Reserved,"Not Available"
GRF40HSVSS,ZA005994,,Reserved,"Not Available"
JVM7195RWSS,SA205309,,Reserved,"Not Available"
PTD60EBSRWS,TA574286,,Reserved,"Not Available"
PDP715SYVFS,ZA836679,,Reserved,"Not Available"
PDP715SYVFS,ZA836678,,Reserved,"Not Available"
JNM3163RJSS,SA218547,,Reserved,"Not Available"
PFD87ESPVRS,FA239826,,Reserved,"Not Available"
PVD28BYNFS,RA523547-AD1,,Reserved,"Not Available"
JVM7195SKSS,SA201080,,Reserved,"Not Available"
JGBS66REKSS,RA421067,,Reserved,"Not Available"
GGF600AVSS,MA052819,,Reserved,"Not Available"
JGBS66REKSS,TA423920,,Reserved,"Not Available"
GDF510PSRSS,LA850790,,Reserved,"Not Available"
JKD3000DNWW,RA136580,,Reserved,"Not Available"
HTW265ASWWW,VA191613,,Reserved,"Not Available"
CVE28DP2NS1,HA514133,,Reserved,"Not Available"
GGF500PVWW,VA035030,,Reserved,"Not Available"
QJS15HYRFS,MA715467,,Reserved,"Not Available"
GRF500SVSS,ZA043332,,Reserved,"Not Available"
JGBS66REKSS,VA404704,,Reserved,"Not Available"
GYE22GENDS,VA505338,,Reserved,"Not Available"
PDT715SYVFS,ZA796420,,Reserved,"Not Available"
JGBS66REKSS,TA419310,,Reserved,"Not Available"
JB256DMWW,LA303380,,Reserved,"Not Available"
JVM7195SKSS,MA211792,,Reserved,"Not Available"
JGBS66REKSS,TA431301,,Reserved,"Not Available"
GFR0728SNWW,,1,Reserved,"Not Available"
CDT828P2VS1,ZA805374,,Reserved,"Not Available"
FUF21DLRWW,FA043239,,Reserved,"Not Available"
JBS360RTSS,ZA444046,,Reserved,"Not Available"
GFA28KITN,,4,Reserved,"Not Available"
GNE25JYKFS,TA332114,,Reserved,"Not Available"
GZS22IYNFS,RA437374,,Reserved,"Not Available"
GTW585BPVDG,TA289503,,Reserved,"Not Available"
HPS16BTNRWW,VA767194,,Reserved,"Not Available"
GUD27ESSMWW,VA037401,,Reserved,"Not Available"
GDF510PGRWW,TA910690,,Reserved,"Not Available"
ZIR301NPNII,ZA031577,,Reserved,"Not Available"
JVX3300DJBB,VA876699,,Reserved,"Not Available"
FCFI3083AS,VF54791260,,Reserved,"Not Available"
PCHK11S1WSS,TA202327,,Reserved,"Not Available"
GTS18HYNRFS,SA795618-AD1,,Reserved,"Not Available"
UCG1520NSS,TA900476,,Reserved,"Not Available"
PVD28BYNFS,TA532910,,Reserved,"Not Available"
JTS5000SVSS,TA149256,,Reserved,"Not Available"
JVM3162RJSS,GA204402,,Reserved,"Not Available"
JVM3162RJSS,GA204404,,Reserved,"Not Available"
PCWK22U1WDD,TA205563,,Reserved,"Not Available"
