"Model #","Serial #","Inv Qty","Availability Status","Availability Message"
GTS18HGNRWW,ZA744038,,Available,
GUD27ESSMWW,TA084221,,Available,
JVM7195SKSS,SA201002,,Available,
FCM16DLWW,RA900883,,Available,
PTD7000SNSS,TA215437,,Available,
GRS500PVSS,TA184494,,Available,
JGBS66DEKBB,TA425733,,Available,
GDF670SYVFS,VA836243,,Available,
JGBS66REKSS,ZA391619,,Available,
GGS600AVFS,VA131545,,Available,
GTW485ASWWB,TA230197,,Available,
PDT795SYVFS,TA892034,,Available,
GUD27ESSMWW,TA084223,,Available,
FUF21DLRWW,SA590685,,Available,
JVM7195SKSS,MA215756,,Available,
GTD48EASWWB,TA866594,,Available,
GYE22GYNFS,MA506678,,Available,
PGF700AYFS,VA070465,,Available,
GDE03GLKLB,MA085444-AD1,,Available,
JGBS66REKSS,TA404220,,Available,
JVM3160DFWW,TA204628,,Available,
GDF650SYVFS,FA709647,,Reserved,"Not Available"
GTS22KYNRFS,RA850020,,Reserved,"Not Available"
GFV55ESSNWW,TA938772,,Available,
CVE28DP4NW2,AA504503,,Available,
CVE28DP4NW2,AA504502,,Available,
PVD28BYNFS,GA509217,,Reserved,"Not Available"
PDT755SYVFS,MA702834,,Available,
PVD28BYNFS,TA504620,,Reserved,"Not Available"
CDT828P2VS1,SA810591,,Available,
GDT650SYVFS,VA751738,,Available,
GGF600AVSS,VA000578,,Available,
GYE22GYNFS,TA534046,,Available,
GZS22IYNFS,MA454912,,Available,
JVM6175YKFS,SA201110,,Available,
GFD55GSSNWW,LA959623,,Available,
HTX26EASWWW,VA522016,,Available,
GFW550SSNWW,DA359937,,Available,
JGBS66REKSS,MA410912,,Available,
GTW485ASWWB,LA966945,,Available,
GNE27JYMFS,TA347419,,Reserved,"Not Available"
GZS22IYNFS,MA440721,,Available,
GDT650SYVFS,VA719812,,Available,
GFE28GYNFS,AA515590,,Available,
GNE27JYMFS,TA348746,,Available,
PK7800SKSS,HA068911,,Available,
GGS600AVFS,VA012412,,Available,
GFQ14ESSNWW,RA327971,,Available,
CDT888P2VS1,VA837569,,Available,
GTD58EBSVWS,TA727655,,Available,
PVD28BYNFS,TA528873,,Available,
PDP715SYVFS,TA917556,,Available,
CGE29DM5TS5,SA128706,,Available,
PS960YPFS,VA093294,,Available,
GGS500SVSS,TA190163,,Available,
CVM517P2RS1,SA300388,,Available,
PVM9005SJSS,MA203999,,Reserved,"Not Available"
GRF400SVSS,ZA058934,,Available,
GTW485ASWWB,SA991218,,Available,
PAD28BYTFS,LA132612,,Reserved,"Not Available"
GUD27ESSMWW,HA038175,,Available,
PT7800SHSS,TA036365,,Available,
GWE22JYMFS,TA395971,,Available,
GTD48EASWWB,HA701910,,Available,
JVM3160DFBB,SA207692,,Available,
GUD24GSSMWW,TA066141,,Available,
GTD58EBSVWS,TA727645,,Available,
GNE27JYMFS,HA330871,,Available,
CDT858P2VS1,VA842286,,Available,
GFW655SPVDS,VZ381875,,Available,
GYE22GYNFS,TA524695,,Available,
GTW485ASWWB,VA954507,,Available,
GYE22GYNFS,TA534018,,Available,
JGBS66DEKBB,TA425703,,Available,
GTX33EASKWW,SA895413,,Reserved,"Not Available"
GNE27JYMFS,TA348775,,Available,
GTS22KYNRFS,RA850063,,Available,
GDT550PYRFS,SA874007,,Available,
PVM9215SKSS,SA200342,,Available,
JVM7195DKBB,TA200013,,Available,
GFE28GYNFS,TA528391,,Available,
JVM3160RFSS,VA217802,,Available,
GFQ14ESSNWW,RA327723,,Available,
PTD60EBPRDG,MA575122,,Available,
GNE25JYKFS,LA317842,,Available,
PGE29BYTFS,VA151902,,Available,
GDT650SYVFS,VA719829,,Available,
CTD90FP4NW2,VA041526,,Available,
PGE29BYTFS,TA159028,,Available,
JKS3000SNSS,VA110516,,Available,
JKS3000SNSS,VA110517,,Available,
PDT715SYVFS,RA864339,,Available,
ZTS90DPSNSS,HA145383,,Available,
GTW485ASWWB,VA954501,,Available,
GTX33EASKWW,VA862198,,Available,
CDD420P2TS1,TA717786,,Available,
PAD28BYTFS,RA158308,,Available,
GDT550PYRFS,VA764852,,Available,
GTW485ASWWB,VA967844,,Available,
GDT650SYVFS,VA787422,,Available,
PGD29BYTFS,MA144562,,Available,
GFE28GELDS,VA506446,,Available,
GDT550PYRFS,VA764850,,Available,
GFW655SPVDS,TA325532,,Available,
GTS22KGNRWW,TA872484,,Available,
GRF600AVSS,RA074825,,Available,
PTW705BPTDG,TA964598,,Available,
GDE03GLKLB,MA085299-AD1,,Available,
GTD48GASWWB,HA826239,,Available,
JVM3160RFSS,VA217589,,Available,
GTD45EASJWS,ZA503137,,Available,
GUD27ESSMWW,TA039934,,Available,
FUF14QRRWW,TA043748,,Available,
JGBS66REKSS,VA407787,,Available,
GGS500SVSS,SA002712,,Available,
GTS22KGNRWW,TA749849,,Available,
GFW655SSVWW,VA301880,,Available,
CGS750P2MS1,TA375836,,Available,
PFD87ESPVRS,TA922241,,Available,
GFD55GSSNWW,TA953860,,Available,
JVM3160RFSS,TA208076,,Available,
GUD24GSSMWW,TA072619,,Available,
GRS500PVSS,VA012887,,Reserved,"Not Available"
GNE27JYMFS,ZA376045,,Available,
